,Date,渠道2,渠道5,渠道6,渠道9,渠道10
0,2019-01-01,0.03,0.028499999999999998,0.028499999999999998,0.03,0.028499999999999998
1,2019-01-02,0.0315,0.03,0.030000000000000002,0.03,0.03
2,2019-01-03,0.028499999999999994,0.028499999999999994,0.028500000000000004,0.028499999999999998,0.0315
3,2019-01-04,0.0315,0.0315,0.028499999999999998,0.028499999999999998,0.0315
4,2019-01-05,0.028499999999999998,0.0315,0.0315,0.029999999999999995,0.03
5,2019-01-06,0.03,0.028499999999999994,0.028499999999999998,0.03,0.028499999999999998
6,2019-01-07,0.0315,0.0315,0.03,0.03,0.028499999999999998
7,2019-01-08,0.0315,0.03,0.028499999999999998,0.0285,0.03
8,2019-01-09,0.030000000000000002,0.0285,0.029999999999999995,0.0315,0.0315
9,2019-01-10,0.029999999999999995,0.0315,0.028499999999999998,0.028500000000000004,0.028499999999999998
